NRO_BOLETO,VALOR,ORIGEN_DESTINO,FECHA_SALIDA_SERVICIO,HORA_SALIDA_SERVICIO,FECHA_COMPRA,LINEA,TIPO_ASIENTO,CANAL_VENTA,SUBCANAL_VENTA
500001,6000,tmco-pcon,20231001,0630,20230926,1,Salon Cama,Presencial,App Movil
500002,6000,tmco-pcon,20231001,0630,20230918,1,Clas.Cort.,Presencial,Sitio Web
500003,5000,tmco-pcon,20231001,0630,20231001,3,Semi Cama,Internet,Boleteria
500004,4500,tmco-pcon,20231001,0630,20230927,2,Salon Cama,Internet,App Movil
500005,5000,tmco-pcon,20231001,0630,20230923,3,Clas.Cort.,Internet,App Movil
500006,5000,tmco-pcon,20231001,0630,20230901,2,Salon Cama,Internet,Sitio Web
500007,4500,tmco-pcon,20231001,0630,20230929,2,Semi Cama,Internet,Boleteria
500008,6000,tmco-pcon,20231001,0630,20231001,3,Salon Cama,Internet,App Movil
500009,5500,tmco-pcon,20231001,0630,20231001,3,Salon Cama,Presencial,Sitio Web
500010,5500,tmco-pcon,20231001,0630,20230917,3,Salon Cama,Presencial,Boleteria
500011,6000,tmco-pcon,20231001,0630,20231001,2,Salon Cama,Presencial,App Movil
500012,5000,tmco-pcon,20231001,0630,20230923,1,Salon Cama,Presencial,App Movil
500013,5500,tmco-pcon,20231001,0630,20231001,2,Salon Cama,Presencial,Boleteria
500014,6000,tmco-pcon,20231001,0630,20230922,1,Semi Cama,Presencial,Boleteria
500015,4500,tmco-pcon,20231001,0630,20230926,3,Salon Cama,Internet,Boleteria
500016,5500,tmco-pcon,20231001,0630,20231001,2,Salon Cama,Presencial,Boleteria
500017,4500,tmco-pcon,20231001,0630,20230929,3,Semi Cama,Presencial,App Movil
500018,6000,tmco-pcon,20231001,0630,20230920,1,Salon Cama,Internet,App Movil
500019,5500,tmco-pcon,20231001,0630,20230930,1,Clas.Cort.,Presencial,App Movil
500020,4500,tmco-pcon,20231001,0630,20231001,2,Semi Cama,Internet,App Movil
500021,5000,tmco-pcon,20231001,0630,20231001,3,Salon Cama,Presencial,Sitio Web
500022,5000,tmco-pcon,20231001,0630,20230924,3,Salon Cama,Presencial,Sitio Web
500023,5000,tmco-pcon,20231001,0630,20230913,1,Semi Cama,Internet,App Movil
500024,5500,tmco-pcon,20231001,0630,20230926,3,Semi Cama,Presencial,Sitio Web
